datetime;make;model;year;engine;mileage;price;fuel_type;new
7/16/2021;Chrysler;GrandVoyager;2001;2.5;244.0;2.65;D;false
11/11/2021;Opel;Astra;2003;2.0;270.0;2.25;D;false
5/14/2022;Kia;RIO;2009;1.5;109.0;4.25;D;false
2/19/2018;Peugeot;Partner;2007;1.4;126.0;1.85;P;true
6/28/2017;Volkswagen;Golf4;1998;1.9;320.0;1.85;D;false
03/08/2018;Mazda;Mazda6;2008;2.0;179.0;5.99;D;false
11/18/2021;Porsche;Cayenne;2008;4.8;120.0;12.7;P;false
04/09/2020;Volkswagen;Golf6;2011;2.0;196.0;7.95;D;true
02/03/2018;Volvo;XC60;2013;2.4;173.0;24.9;D;true
3/19/2022;Nissan;Qashqai;2016;1.6;15.0;20.6;D;false
03/08/2022;Ford;Focus;2005;1.6;251.0;1.95;D;false
2/22/2020;Volvo;S60;2003;2.4;215.0;3.45;D;true
9/26/2019;Volkswagen;Caddy;2002;1.9;320.0;1.2;D;false
09/01/2018;Chrysler;GrandVoyager;2010;2.8;155.0;12.5;D;false
02/12/2019;Fiat;Bravo;2008;1.4;101.0;3.6;P;false
1/13/2021;Opel;Vectra;2004;2.2;150.0;3.5;P;false
4/27/2022;Citroen;Berlingo;2010;1.6;159.0;3.5;D;false
08/10/2018;Bmw;5;2010;3.0;205.0;16.3;D;false
02/08/2020;Volkswagen;Jetta;2013;2.0;177.0;12.5;D;false
7/26/2017;Ford;Focus;2009;1.6;151.0;3.9;D;false
7/20/2017;Volvo;V50;2012;1.6;174.0;8.2;D;false
07/12/2020;Bmw;X5;2007;3.0;204.0;14.5;P;false
5/16/2021;Opel;Zafira;2007;1.9;301.0;3.65;D;false
5/26/2020;Volvo;S70;1998;2.5;306.0;1.3;P;true
08/05/2019;Seat;Alhambra;2008;2.0;285.0;5.1;D;true
12/03/2020;Bmw;5;2013;5.0;162.0;45.9;D;false
9/17/2020;Ford;Focus;2000;1.6;364.0;725;P;true
02/03/2020;Audi;A4;2003;2.5;220.0;2.49;D;false
02/07/2019;Toyota;RAV4;2011;2.2;217.0;11.8;D;true
7/21/2019;Audi;80;1993;2.0;274.0;690;P;false
11/09/2018;Mercedes;E;2002;2.2;214.0;1.54;D;false
8/28/2017;Nissan;Note;2010;1.5;177.0;5.75;D;true
9/27/2019;Mercedes;E;1996;2.3;265.0;550;P;true
02/05/2022;Audi;A6;1995;2.5;400.0;700;D;false
12/07/2020;Toyota;Auris;2012;1.8;119.0;8.59;H;true
10/17/2019;Lexus;RX;2011;3.5;154.0;26.5;H;false
6/24/2019;Volkswagen;Transporter;2000;1.9;409.0;1.8;D;true
09/03/2022;Audi;A4;1999;1.9;299.0;2.49;D;true
09/06/2021;Volkswagen;Polo;2012;1.2;138.0;7.5;D;false
12/24/2021;Volkswagen;Passat(B7);2014;2.0;29.0;18.9;D;false
04/04/2021;Opel;Insignia;2015;2.0;43.0;16.86;D;true
3/20/2018;Seat;Cordoba;2000;1.6;152.0;1.4;P;true
08/12/2020;Ford;FocusC-Max;2009;1.8;190.0;4.25;D;true
10/23/2020;Chrysler;Neon;1995;2.0;160.0;310;P;true
10/16/2021;Volvo;V70;2000;2.5;302.0;2.8;D;true
10/17/2018;Mercedes;E;2006;3.0;234.0;6.69;D;false
8/29/2018;Volvo;V70;1997;2.5;322.0;1.6;D;true
4/13/2018;Volvo;V70;1998;2.5;420.0;1.77;D;false
08/03/2017;Audi;A4;2006;2.0;190.0;5.15;D;false
2/28/2021;Opel;Astra;2011;1.3;193.0;6.35;D;true
07/01/2021;Audi;A4;2005;2.0;331.0;5.2;D;false
07/01/2021;Volkswagen;Polo;2012;1.2;94.0;7;D;true
1/13/2022;Audi;A6;2005;2.0;250.0;5.9;D;false
4/21/2020;Renault;Trafic;2004;1.9;439.0;2.6;D;true
8/19/2021;Opel;Vectra;2008;1.9;245.0;5.35;D;true
11/18/2017;Peugeot;Partner;2011;1.6;212.0;5.99;D;false
10/29/2020;Audi;Allroad;2002;2.5;267.0;3.3;D;true
7/15/2022;Volkswagen;Golf6;2012;1.6;161.0;7.4;D;false
05/07/2020;Chrysler;Voyager;2002;2.5;460.0;1.85;D;true
7/14/2018;Lexus;GS;2008;3.0;139.0;13.5;P;false
8/28/2022;Volvo;V50;2008;2.0;176.0;6.9;D;true
8/17/2021;Mercedes;Sprinter;2012;2.2;187.0;16.7;D;true
6/13/2018;Bmw;X1;2012;2.0;159.0;17;D;true
